component_id,component_class,subsystem,component_cost,indenture_level,is_shared,specialized_only
LRU_1,lru,propulsion,36,1,0,0
LRU_2,lru,hydraulics,48,1,0,0
LRU_3,lru,electrical,48,1,0,0
LRU_4,lru,hydraulics,36,1,0,0
LRU_5,lru,electrical,42,1,0,0
LRU_6,lru,avionics,48,1,0,0
LRU_1_1,sru,landing_gear,88,2,0,0
LRU_1_2,sru,electrical,130,2,0,0
LRU_2_1,sru,electrical,88,2,0,0
LRU_2_2,sru,propulsion,116,2,0,0
LRU_3_1,sru,hydraulics,116,2,0,0
LRU_3_2,sru,propulsion,102,2,0,0
LRU_4_1,sru,propulsion,116,2,0,0
LRU_4_2,sru,hydraulics,102,2,0,0
LRU_5_1,sru,hydraulics,102,2,0,0
LRU_5_2,sru,avionics,102,2,0,0
LRU_6_1,sru,propulsion,130,2,0,0
LRU_6_2,sru,electrical,88,2,0,0
PART_1,part,avionics,,3,1,1
PART_2,part,propulsion,,3,1,0
PART_3,part,electrical,,3,1,0
PART_4,part,propulsion,,3,1,0
PART_5,part,electrical,,3,1,0
PART_6,part,avionics,,3,1,0
PART_7,part,electrical,,3,1,0
PART_8,part,avionics,,3,1,0
PART_9,part,propulsion,,3,1,0
PART_10,part,propulsion,,3,1,0
PART_11,part,landing_gear,,3,1,0
PART_12,part,hydraulics,,3,1,1
PART_13,part,landing_gear,,3,1,1
PART_14,part,electrical,,3,1,0
PART_15,part,electrical,,3,1,0
PART_16,part,electrical,,3,1,0
PART_17,part,avionics,,3,1,0
PART_18,part,electrical,,3,1,0
PART_19,part,propulsion,,3,1,0
PART_20,part,electrical,,3,1,0
PART_21,part,electrical,,3,1,0
PART_22,part,electrical,,3,1,1
