node_id,component_id,quantity
LOCAL_1,LRU_3_1,1
LOCAL_1,PART_2,10
LOCAL_1,PART_3,10
LOCAL_1,PART_4,6
LOCAL_1,PART_5,4
LOCAL_1,PART_6,6
LOCAL_1,PART_7,9
LOCAL_1,PART_8,8
LOCAL_1,PART_9,4
LOCAL_1,PART_15,4
LOCAL_1,PART_19,9
LOCAL_1,PART_20,4
LOCAL_1,PART_21,4
LOCAL_2,PART_2,6
LOCAL_2,PART_4,10
LOCAL_2,PART_6,3
LOCAL_2,PART_7,8
LOCAL_2,PART_8,6
LOCAL_2,PART_9,4
LOCAL_2,PART_11,10
LOCAL_2,PART_14,5
LOCAL_2,PART_16,5
LOCAL_2,PART_17,5
LOCAL_2,PART_18,6
LOCAL_2,PART_19,4
LOCAL_2,PART_21,6
LOCAL_3,LRU_3_2,1
LOCAL_3,PART_2,4
LOCAL_3,PART_3,9
LOCAL_3,PART_4,7
LOCAL_3,PART_5,4
LOCAL_3,PART_7,8
LOCAL_3,PART_8,7
LOCAL_3,PART_9,10
LOCAL_3,PART_10,5
LOCAL_3,PART_11,4
LOCAL_3,PART_14,5
LOCAL_3,PART_15,10
LOCAL_3,PART_16,5
LOCAL_3,PART_17,4
LOCAL_3,PART_18,4
LOCAL_3,PART_19,10
LOCAL_3,PART_20,10
LOCAL_3,PART_21,10
LOCAL_4,LRU_1_2,1
LOCAL_4,LRU_3_1,1
LOCAL_4,PART_2,9
LOCAL_4,PART_3,3
LOCAL_4,PART_4,10
LOCAL_4,PART_5,5
LOCAL_4,PART_6,8
LOCAL_4,PART_7,6
LOCAL_4,PART_8,7
LOCAL_4,PART_10,5
LOCAL_4,PART_11,5
LOCAL_4,PART_14,4
LOCAL_4,PART_15,5
LOCAL_4,PART_16,7
LOCAL_4,PART_18,9
LOCAL_4,PART_19,3
LOCAL_4,PART_20,7
REGWH_1,LRU_1_1,3
REGWH_1,LRU_1_2,2
REGWH_1,LRU_2_1,6
REGWH_1,LRU_2_2,2
REGWH_1,LRU_3_1,6
REGWH_1,LRU_4_1,3
REGWH_1,LRU_4_2,3
REGWH_1,LRU_5_1,4
REGWH_1,LRU_5_2,5
REGWH_1,LRU_6_1,6
REGWH_1,LRU_6_2,4
REGWH_1,PART_2,23
REGWH_1,PART_3,12
REGWH_1,PART_4,15
REGWH_1,PART_5,25
REGWH_1,PART_6,25
REGWH_1,PART_8,22
REGWH_1,PART_9,25
REGWH_1,PART_10,22
REGWH_1,PART_11,14
REGWH_1,PART_15,18
REGWH_1,PART_16,9
REGWH_1,PART_17,26
REGWH_1,PART_18,28
REGWH_1,PART_19,20
REGWH_1,PART_20,21
REGWH_1,PART_21,21
REGWH_2,LRU_1_1,5
REGWH_2,LRU_1_2,6
REGWH_2,LRU_2_1,5
REGWH_2,LRU_2_2,2
REGWH_2,LRU_3_1,3
REGWH_2,LRU_4_2,6
REGWH_2,LRU_5_2,6
REGWH_2,LRU_6_1,6
REGWH_2,LRU_6_2,3
REGWH_2,PART_2,11
REGWH_2,PART_3,27
REGWH_2,PART_4,15
REGWH_2,PART_5,12
REGWH_2,PART_6,20
REGWH_2,PART_7,12
REGWH_2,PART_8,25
REGWH_2,PART_9,13
REGWH_2,PART_10,26
REGWH_2,PART_11,28
REGWH_2,PART_14,9
REGWH_2,PART_15,23
REGWH_2,PART_16,28
REGWH_2,PART_17,13
REGWH_2,PART_18,20
REGWH_2,PART_20,8
REGWH_2,PART_21,27
DEPOT_1,LRU_2,1
