parent_component_id,parent_component_class,parent_component_cost,child_component_id,child_component_class,child_component_cost,child_specialized_only,quantity_required
LRU_1,lru,1367,LRU_1_1,sru,263,0,2
LRU_1_1,sru,263,PART_6,part,,0,2
LRU_1_1,sru,263,PART_9,part,,0,2
LRU_1_1,sru,263,PART_13,part,,0,2
LRU_1,lru,1367,LRU_1_2,sru,415,0,2
LRU_1_2,sru,415,PART_10,part,,0,3
LRU_1_2,sru,415,PART_7,part,,0,2
LRU_1_2,sru,415,PART_8,part,,1,3
LRU_2,lru,1249,LRU_2_1,sru,204,0,1
LRU_2_1,sru,204,PART_2,part,,1,1
LRU_2_1,sru,204,PART_9,part,,0,3
LRU_2_1,sru,204,PART_10,part,,0,1
LRU_2,lru,1249,LRU_2_2,sru,286,0,1
LRU_2_2,sru,286,PART_7,part,,0,3
LRU_2_2,sru,286,PART_2,part,,1,1
LRU_2_2,sru,286,PART_17,part,,0,1
LRU_3,lru,1076,LRU_3_1,sru,162,0,1
LRU_3_1,sru,162,PART_4,part,,0,1
LRU_3_1,sru,162,PART_3,part,,1,3
LRU_3_1,sru,162,PART_1,part,,0,1
LRU_3,lru,1076,LRU_3_2,sru,215,0,1
LRU_3_2,sru,215,PART_6,part,,0,3
LRU_3_2,sru,215,PART_1,part,,0,1
LRU_3_2,sru,215,PART_7,part,,0,1
LRU_4,lru,904,LRU_4_1,sru,471,0,1
LRU_4_1,sru,471,PART_10,part,,0,1
LRU_4_1,sru,471,PART_11,part,,1,2
LRU_4_1,sru,471,PART_8,part,,1,2
LRU_4,lru,904,LRU_4_2,sru,173,0,2
LRU_4_2,sru,173,PART_13,part,,0,1
LRU_4_2,sru,173,PART_5,part,,0,1
LRU_4_2,sru,173,PART_8,part,,1,3
LRU_5,lru,924,LRU_5_1,sru,415,0,2
LRU_5_1,sru,415,PART_16,part,,0,2
LRU_5_1,sru,415,PART_11,part,,1,2
LRU_5_1,sru,415,PART_3,part,,1,2
LRU_5,lru,924,LRU_5_2,sru,484,0,1
LRU_5_2,sru,484,PART_5,part,,0,1
LRU_5_2,sru,484,PART_2,part,,1,1
LRU_5_2,sru,484,PART_17,part,,0,1
