parent_component_id,parent_component_class,parent_component_repair_difficulty,parent_component_cost,child_component_id,child_component_class,child_component_repair_difficulty,child_component_cost,child_specialized_only,quantity_required
LRU_1,lru,7,48,LRU_1_1,sru,6,102,0,2
LRU_1_1,sru,6,102,PART_1,part,3,,0,2
LRU_1_1,sru,6,102,PART_11,part,1,,0,2
LRU_1_1,sru,6,102,PART_5,part,1,,0,2
LRU_1,lru,7,48,LRU_1_2,sru,4,102,0,2
LRU_1_2,sru,4,102,PART_13,part,2,,0,2
LRU_1_2,sru,4,102,PART_14,part,3,,1,1
LRU_1_2,sru,4,102,PART_8,part,1,,0,3
LRU_2,lru,7,42,LRU_2_1,sru,4,144,0,2
LRU_2_1,sru,4,144,PART_5,part,1,,0,3
LRU_2_1,sru,4,144,PART_6,part,2,,1,3
LRU_2_1,sru,4,144,PART_4,part,2,,0,3
LRU_2,lru,7,42,LRU_2_2,sru,5,130,0,1
LRU_2_2,sru,5,130,PART_2,part,3,,0,3
LRU_2_2,sru,5,130,PART_3,part,1,,1,3
LRU_2_2,sru,5,130,PART_4,part,2,,0,2
LRU_3,lru,8,42,LRU_3_1,sru,6,116,0,1
LRU_3_1,sru,6,116,PART_3,part,1,,1,3
LRU_3_1,sru,6,116,PART_1,part,3,,0,3
LRU_3_1,sru,6,116,PART_12,part,3,,0,1
LRU_3,lru,8,42,LRU_3_2,sru,5,116,0,2
LRU_3_2,sru,5,116,PART_14,part,3,,1,2
LRU_3_2,sru,5,116,PART_15,part,3,,0,2
LRU_3_2,sru,5,116,PART_17,part,2,,1,3
LRU_4,lru,7,36,LRU_4_1,sru,5,74,0,1
LRU_4_1,sru,5,74,PART_5,part,1,,0,2
LRU_4_1,sru,5,74,PART_12,part,3,,0,1
LRU_4_1,sru,5,74,PART_6,part,2,,1,1
LRU_4,lru,7,36,LRU_4_2,sru,6,74,0,1
LRU_4_2,sru,6,74,PART_12,part,3,,0,2
LRU_4_2,sru,6,74,PART_10,part,1,,0,1
LRU_4_2,sru,6,74,PART_4,part,2,,0,1
LRU_5,lru,8,48,LRU_5_1,sru,6,74,0,2
LRU_5_1,sru,6,74,PART_12,part,3,,0,2
LRU_5_1,sru,6,74,PART_5,part,1,,0,1
LRU_5_1,sru,6,74,PART_6,part,2,,1,1
LRU_5,lru,8,48,LRU_5_2,sru,4,116,0,2
LRU_5_2,sru,4,116,PART_1,part,3,,0,2
LRU_5_2,sru,4,116,PART_12,part,3,,0,2
LRU_5_2,sru,4,116,PART_16,part,2,,0,3
