node_id,node_type,x,y,repair_capability,repair_capacity
CUST_1,customer,21.165,96.514,0,0
CUST_2,customer,4.074,59.816,0,0
CUST_3,customer,18.874,38.379,0,0
CUST_4,customer,15.725,6.066,0,0
LOCAL_1,local_shop,35.301,93.077,3,10
LOCAL_2,local_shop,41.995,65.396,3,21
LOCAL_3,local_shop,41.14,36.445,2,21
LOCAL_4,local_shop,29.56,3.322,1,16
REGWH_1,regional_warehouse,53.973,86.51,5,94
REGWH_2,regional_warehouse,60.377,8.779,6,62
DEPOT_1,central_depot,72.833,30.002,9,338
SPEC_1,specialized_shop,84.05,92.103,9,53
SPEC_2,specialized_shop,96.928,63.452,8,97
SPEC_3,specialized_shop,95.599,38.65,9,75
SPEC_4,specialized_shop,87.428,11.618,8,50
