node_id,component_id,repair_cost,repair_time
REGWH_1,LRU_2_1,88,20
REGWH_1,LRU_2_2,74,18
REGWH_1,LRU_3_2,144,29
REGWH_1,LRU_4_2,102,22
REGWH_1,LRU_5_1,60,15
REGWH_2,LRU_1_1,88,20
REGWH_2,LRU_1_2,88,20
REGWH_2,LRU_2_1,88,20
REGWH_2,LRU_2_2,74,18
REGWH_2,LRU_3_1,130,26
REGWH_2,LRU_3_2,144,29
REGWH_2,LRU_4_1,102,22
REGWH_2,LRU_4_2,102,22
REGWH_2,LRU_5_1,60,15
REGWH_2,LRU_5_2,88,20
DEPOT_1,LRU_1,31,38
DEPOT_1,LRU_2,31,38
DEPOT_1,LRU_3,36,46
DEPOT_1,LRU_4,41,55
DEPOT_1,LRU_5,31,38
DEPOT_1,LRU_1_1,75,22
DEPOT_1,LRU_1_2,75,22
DEPOT_1,LRU_2_1,75,22
DEPOT_1,LRU_2_2,63,20
DEPOT_1,LRU_3_1,110,30
DEPOT_1,LRU_3_2,122,32
DEPOT_1,LRU_4_1,87,25
DEPOT_1,LRU_4_2,87,25
DEPOT_1,LRU_5_1,51,18
DEPOT_1,LRU_5_2,75,22
SPEC_1,LRU_1,50,24
SPEC_1,LRU_2,50,24
SPEC_1,LRU_3,59,30
SPEC_1,LRU_4,67,35
SPEC_1,LRU_5,50,24
SPEC_1,LRU_1_1,123,14
SPEC_1,LRU_1_2,123,14
SPEC_1,LRU_2_1,123,14
SPEC_1,LRU_2_2,104,13
SPEC_1,LRU_3_1,182,19
SPEC_1,LRU_3_2,202,21
SPEC_1,LRU_4_1,143,16
SPEC_1,LRU_4_2,143,16
SPEC_1,LRU_5_1,84,11
SPEC_1,LRU_5_2,123,14
SPEC_2,LRU_1,50,24
SPEC_2,LRU_2,50,24
SPEC_2,LRU_4,67,35
SPEC_2,LRU_5,50,24
SPEC_2,LRU_1_1,123,14
SPEC_2,LRU_1_2,123,14
SPEC_2,LRU_2_1,123,14
SPEC_2,LRU_2_2,104,13
SPEC_2,LRU_3_1,182,19
SPEC_2,LRU_3_2,202,21
SPEC_2,LRU_4_1,143,16
SPEC_2,LRU_4_2,143,16
SPEC_2,LRU_5_1,84,11
SPEC_2,LRU_5_2,123,14
SPEC_3,LRU_1,50,24
SPEC_3,LRU_2,50,24
SPEC_3,LRU_3,59,30
SPEC_3,LRU_4,67,35
SPEC_3,LRU_5,50,24
SPEC_3,LRU_1_1,123,14
SPEC_3,LRU_1_2,123,14
SPEC_3,LRU_2_1,123,14
SPEC_3,LRU_2_2,104,13
SPEC_3,LRU_3_1,182,19
SPEC_3,LRU_3_2,202,21
SPEC_3,LRU_4_1,143,16
SPEC_3,LRU_4_2,143,16
SPEC_3,LRU_5_1,84,11
SPEC_3,LRU_5_2,123,14
SPEC_4,LRU_1,50,24
SPEC_4,LRU_2,50,24
SPEC_4,LRU_4,67,35
SPEC_4,LRU_5,50,24
SPEC_4,LRU_1_1,123,14
SPEC_4,LRU_1_2,123,14
SPEC_4,LRU_2_1,123,14
SPEC_4,LRU_2_2,104,13
SPEC_4,LRU_3_1,182,19
SPEC_4,LRU_3_2,202,21
SPEC_4,LRU_4_1,143,16
SPEC_4,LRU_4_2,143,16
SPEC_4,LRU_5_1,84,11
SPEC_4,LRU_5_2,123,14
