node_id,component_id,quantity
LOCAL_1,PART_1,6
LOCAL_1,PART_3,9
LOCAL_1,PART_6,10
LOCAL_1,PART_7,10
LOCAL_1,PART_8,4
LOCAL_1,PART_9,6
LOCAL_1,PART_10,9
LOCAL_1,PART_13,6
LOCAL_1,PART_14,6
LOCAL_1,PART_15,5
LOCAL_1,PART_16,9
LOCAL_1,PART_17,5
LOCAL_2,LRU_5_2,1
LOCAL_2,PART_1,8
LOCAL_2,PART_3,9
LOCAL_2,PART_4,5
LOCAL_2,PART_6,10
LOCAL_2,PART_7,5
LOCAL_2,PART_8,10
LOCAL_2,PART_10,9
LOCAL_2,PART_11,6
LOCAL_2,PART_13,5
LOCAL_2,PART_14,7
LOCAL_2,PART_15,8
LOCAL_2,PART_16,7
LOCAL_2,PART_17,9
LOCAL_3,LRU_1_2,1
LOCAL_3,LRU_5_1,1
LOCAL_3,PART_1,8
LOCAL_3,PART_3,5
LOCAL_3,PART_4,7
LOCAL_3,PART_6,10
LOCAL_3,PART_8,7
LOCAL_3,PART_9,4
LOCAL_3,PART_11,8
LOCAL_3,PART_13,5
LOCAL_3,PART_14,9
LOCAL_3,PART_15,8
LOCAL_3,PART_16,8
LOCAL_3,PART_17,7
LOCAL_4,LRU_2_2,1
LOCAL_4,LRU_4_2,1
LOCAL_4,PART_3,8
LOCAL_4,PART_4,9
LOCAL_4,PART_6,5
LOCAL_4,PART_7,6
LOCAL_4,PART_9,5
LOCAL_4,PART_10,8
LOCAL_4,PART_11,9
LOCAL_4,PART_13,6
LOCAL_4,PART_14,6
LOCAL_4,PART_15,3
LOCAL_4,PART_16,8
LOCAL_4,PART_17,3
REGWH_1,LRU_1_1,6
REGWH_1,LRU_2_1,6
REGWH_1,LRU_3_1,2
REGWH_1,LRU_3_2,5
REGWH_1,LRU_4_1,4
REGWH_1,LRU_4_2,6
REGWH_1,LRU_5_1,6
REGWH_1,LRU_5_2,5
REGWH_1,PART_3,21
REGWH_1,PART_4,22
REGWH_1,PART_6,26
REGWH_1,PART_7,24
REGWH_1,PART_9,17
REGWH_1,PART_10,8
REGWH_1,PART_11,19
REGWH_1,PART_13,21
REGWH_1,PART_14,10
REGWH_1,PART_15,28
REGWH_1,PART_16,23
REGWH_1,PART_17,23
REGWH_2,LRU_2,1
REGWH_2,LRU_3,1
REGWH_2,LRU_2_1,5
REGWH_2,LRU_2_2,6
REGWH_2,LRU_3_1,2
REGWH_2,LRU_3_2,2
REGWH_2,LRU_5_1,5
REGWH_2,PART_1,24
REGWH_2,PART_3,24
REGWH_2,PART_4,12
REGWH_2,PART_6,20
REGWH_2,PART_7,18
REGWH_2,PART_8,21
REGWH_2,PART_9,18
REGWH_2,PART_10,11
REGWH_2,PART_11,23
REGWH_2,PART_13,23
REGWH_2,PART_15,12
REGWH_2,PART_16,11
REGWH_2,PART_17,25
DEPOT_1,LRU_4,1
DEPOT_1,LRU_1_1,11
DEPOT_1,LRU_1_2,7
DEPOT_1,LRU_2_1,9
DEPOT_1,LRU_2_2,7
DEPOT_1,LRU_3_2,12
DEPOT_1,LRU_4_2,5
DEPOT_1,LRU_5_2,11
DEPOT_1,PART_1,61
DEPOT_1,PART_3,70
DEPOT_1,PART_4,101
DEPOT_1,PART_6,88
DEPOT_1,PART_7,39
DEPOT_1,PART_8,119
DEPOT_1,PART_9,116
DEPOT_1,PART_10,69
DEPOT_1,PART_11,37
DEPOT_1,PART_13,103
DEPOT_1,PART_14,110
DEPOT_1,PART_15,60
DEPOT_1,PART_16,51
DEPOT_1,PART_17,92
SPEC_1,LRU_1_1,5
SPEC_1,LRU_1_2,5
SPEC_1,LRU_2_2,2
SPEC_1,LRU_3_1,6
SPEC_1,LRU_3_2,5
SPEC_1,LRU_4_1,6
SPEC_1,LRU_5_1,3
SPEC_1,PART_1,25
SPEC_1,PART_2,31
SPEC_1,PART_3,13
SPEC_1,PART_4,32
SPEC_1,PART_5,28
SPEC_1,PART_7,40
SPEC_1,PART_8,42
SPEC_1,PART_10,20
SPEC_1,PART_11,22
SPEC_1,PART_12,36
SPEC_1,PART_13,40
SPEC_1,PART_15,43
SPEC_1,PART_16,27
SPEC_1,PART_17,31
SPEC_2,LRU_1_1,6
SPEC_2,LRU_2_1,3
SPEC_2,LRU_2_2,6
SPEC_2,LRU_3_1,3
SPEC_2,LRU_3_2,6
SPEC_2,LRU_5_1,5
SPEC_2,LRU_5_2,5
SPEC_2,PART_2,27
SPEC_2,PART_3,45
SPEC_2,PART_5,12
SPEC_2,PART_6,39
SPEC_2,PART_7,44
SPEC_2,PART_8,35
SPEC_2,PART_9,45
SPEC_2,PART_11,16
SPEC_2,PART_12,26
SPEC_2,PART_13,13
SPEC_2,PART_14,20
SPEC_2,PART_15,25
SPEC_2,PART_16,15
SPEC_2,PART_17,30
