arc_id,from_node,to_node,cost,time_cost
ARC_1,CUST_1,LOCAL_1,15,17
ARC_2,LOCAL_1,CUST_1,15,17
ARC_3,CUST_1,LOCAL_2,33,35
ARC_4,LOCAL_2,CUST_1,33,35
ARC_5,CUST_2,LOCAL_2,33,35
ARC_6,LOCAL_2,CUST_2,33,35
ARC_7,CUST_2,LOCAL_3,44,46
ARC_8,LOCAL_3,CUST_2,44,46
ARC_9,CUST_3,LOCAL_3,22,24
ARC_10,LOCAL_3,CUST_3,22,24
ARC_11,CUST_3,LOCAL_4,29,31
ARC_12,LOCAL_4,CUST_3,29,31
ARC_13,CUST_4,LOCAL_4,17,19
ARC_14,LOCAL_4,CUST_4,17,19
ARC_15,CUST_4,LOCAL_3,39,41
ARC_16,LOCAL_3,CUST_4,39,41
ARC_17,LOCAL_1,REGWH_1,25,31
ARC_18,REGWH_1,LOCAL_1,25,31
ARC_19,LOCAL_1,REGWH_2,94,107
ARC_20,REGWH_2,LOCAL_1,94,107
ARC_21,LOCAL_2,REGWH_1,36,42
ARC_22,REGWH_1,LOCAL_2,36,42
ARC_23,LOCAL_2,REGWH_2,69,79
ARC_24,REGWH_2,LOCAL_2,69,79
ARC_25,LOCAL_3,REGWH_2,37,44
ARC_26,REGWH_2,LOCAL_3,37,44
ARC_27,LOCAL_3,REGWH_1,60,69
ARC_28,REGWH_1,LOCAL_3,60,69
ARC_29,LOCAL_4,REGWH_2,23,28
ARC_30,REGWH_2,LOCAL_4,23,28
ARC_31,LOCAL_4,REGWH_1,86,97
ARC_32,REGWH_1,LOCAL_4,86,97
ARC_33,REGWH_1,DEPOT_1,44,34
ARC_34,DEPOT_1,REGWH_1,44,34
ARC_35,REGWH_2,DEPOT_1,55,42
ARC_36,DEPOT_1,REGWH_2,55,42
ARC_37,REGWH_1,SPEC_1,34,54
ARC_38,SPEC_1,REGWH_1,34,54
ARC_39,REGWH_2,SPEC_4,42,65
ARC_40,SPEC_4,REGWH_2,42,65
ARC_41,SPEC_1,DEPOT_1,49,71
ARC_42,DEPOT_1,SPEC_1,49,71
ARC_43,SPEC_2,DEPOT_1,23,36
ARC_44,DEPOT_1,SPEC_2,23,36
ARC_45,SPEC_3,DEPOT_1,29,43
ARC_46,DEPOT_1,SPEC_3,29,43
ARC_47,SPEC_4,DEPOT_1,49,71
ARC_48,DEPOT_1,SPEC_4,49,71
