parent_component_id,parent_component_class,parent_component_repair_difficulty,parent_component_cost,child_component_id,child_component_class,child_component_repair_difficulty,child_component_cost,parent_component_repair_time,child_component_repair_time,child_specialized_only,quantity_required
LRU_1,lru,7,48,LRU_1_1,sru,6,102,44,20,0,2
LRU_1_1,sru,6,102,PART_1,part,3,,20,,0,2
LRU_1_1,sru,6,102,PART_11,part,1,,20,,0,2
LRU_1_1,sru,6,102,PART_5,part,1,,20,,0,2
LRU_1,lru,7,48,LRU_1_2,sru,4,102,44,20,0,2
LRU_1_2,sru,4,102,PART_13,part,2,,20,,0,2
LRU_1_2,sru,4,102,PART_14,part,3,,20,,1,1
LRU_1_2,sru,4,102,PART_8,part,1,,20,,0,3
LRU_2,lru,7,42,LRU_2_1,sru,4,144,37,26,0,2
LRU_2_1,sru,4,144,PART_5,part,1,,26,,0,3
LRU_2_1,sru,4,144,PART_6,part,2,,26,,1,3
LRU_2_1,sru,4,144,PART_4,part,2,,26,,0,3
LRU_2,lru,7,42,LRU_2_2,sru,5,130,37,24,0,1
LRU_2_2,sru,5,130,PART_2,part,3,,24,,0,3
LRU_2_2,sru,5,130,PART_3,part,1,,24,,1,3
LRU_2_2,sru,5,130,PART_4,part,2,,24,,0,2
LRU_3,lru,8,42,LRU_3_1,sru,6,116,37,22,0,1
LRU_3_1,sru,6,116,PART_3,part,1,,22,,1,3
LRU_3_1,sru,6,116,PART_1,part,3,,22,,0,3
LRU_3_1,sru,6,116,PART_12,part,3,,22,,0,1
LRU_3,lru,8,42,LRU_3_2,sru,5,116,37,22,0,2
LRU_3_2,sru,5,116,PART_14,part,3,,22,,1,2
LRU_3_2,sru,5,116,PART_15,part,3,,22,,0,2
LRU_3_2,sru,5,116,PART_17,part,2,,22,,1,3
LRU_4,lru,7,36,LRU_4_1,sru,5,74,30,16,0,1
LRU_4_1,sru,5,74,PART_5,part,1,,16,,0,2
LRU_4_1,sru,5,74,PART_12,part,3,,16,,0,1
LRU_4_1,sru,5,74,PART_6,part,2,,16,,1,1
LRU_4,lru,7,36,LRU_4_2,sru,6,74,30,16,0,1
LRU_4_2,sru,6,74,PART_12,part,3,,16,,0,2
LRU_4_2,sru,6,74,PART_10,part,1,,16,,0,1
LRU_4_2,sru,6,74,PART_4,part,2,,16,,0,1
LRU_5,lru,8,48,LRU_5_1,sru,6,74,44,16,0,2
LRU_5_1,sru,6,74,PART_12,part,3,,16,,0,2
LRU_5_1,sru,6,74,PART_5,part,1,,16,,0,1
LRU_5_1,sru,6,74,PART_6,part,2,,16,,1,1
LRU_5,lru,8,48,LRU_5_2,sru,4,116,44,22,0,2
LRU_5_2,sru,4,116,PART_1,part,3,,22,,0,2
LRU_5_2,sru,4,116,PART_12,part,3,,22,,0,2
LRU_5_2,sru,4,116,PART_16,part,2,,22,,0,3
