node_id,node_type,x,y,repair_capability,repair_capacity
CUST_1,customer,12.898,91.206,0,0
CUST_2,customer,7.198,60.274,0,0
CUST_3,customer,12.195,37.271,0,0
CUST_4,customer,14.801,10.089,0,0
LOCAL_1,local_shop,32.402,87.445,4,35
LOCAL_2,local_shop,32.159,64.657,4,104
LOCAL_3,local_shop,27.763,35.66,5,40
LOCAL_4,local_shop,40.308,11.516,5,67
REGWH_1,regional_warehouse,57.503,79.05,5,225
REGWH_2,regional_warehouse,56.674,4.712,6,259
DEPOT_1,central_depot,77.172,31.877,9,1224
SPEC_1,specialized_shop,89.901,95.044,7,156
SPEC_2,specialized_shop,95.819,59.807,8,168
SPEC_3,specialized_shop,89.241,35.926,7,166
SPEC_4,specialized_shop,85.108,10.137,7,182
