comp_id,node_from,node_to,qty
LRU_2,DEPOT_1,REGWH_2,3
LRU_2,LOCAL_1,CUST_2,2
LRU_2,LOCAL_3,CUST_3,3
LRU_2,LOCAL_4,CUST_4,1
LRU_2,REGWH_1,LOCAL_1,2
LRU_2,REGWH_2,LOCAL_3,3
LRU_2,REGWH_2,LOCAL_4,1
LRU_2,SPEC_1,REGWH_1,2
LRU_2,SPEC_2,DEPOT_1,2
LRU_2,SPEC_4,REGWH_2,1
LRU_2_2,DEPOT_1,SPEC_2,2
LRU_2_2,REGWH_1,SPEC_1,2
LRU_2_2,REGWH_2,SPEC_4,1
LRU_3,DEPOT_1,REGWH_2,2
LRU_3,LOCAL_3,CUST_3,2
LRU_3,REGWH_2,LOCAL_3,2
LRU_3,SPEC_3,DEPOT_1,1
LRU_3_1,DEPOT_1,SPEC_3,1
LRU_5,DEPOT_1,REGWH_1,3
LRU_5,LOCAL_1,CUST_1,3
LRU_5,REGWH_1,LOCAL_1,3
LRU_5,SPEC_3,DEPOT_1,2
LRU_5_1,DEPOT_1,SPEC_3,4
