parent_component_id,parent_component_class,parent_component_cost,child_component_id,child_component_class,child_component_cost,parent_component_movement_cost,child_component_movement_cost,child_specialized_only,quantity_required
LRU_1,lru,36,LRU_1_1,sru,88,12,4,0,1
LRU_1_1,sru,88,PART_11,part,,4,1,0,1
LRU_1_1,sru,88,PART_1,part,,4,3,0,3
LRU_1_1,sru,88,PART_15,part,,4,2,0,1
LRU_1,lru,36,LRU_1_2,sru,88,12,5,0,1
LRU_1_2,sru,88,PART_9,part,,5,3,0,1
LRU_1_2,sru,88,PART_8,part,,5,3,0,3
LRU_1_2,sru,88,PART_11,part,,5,1,0,1
LRU_2,lru,36,LRU_2_1,sru,88,8,6,0,1
LRU_2_1,sru,88,PART_12,part,,6,3,1,1
LRU_2_1,sru,88,PART_17,part,,6,3,0,3
LRU_2_1,sru,88,PART_3,part,,6,2,0,1
LRU_2,lru,36,LRU_2_2,sru,74,8,8,0,1
LRU_2_2,sru,74,PART_2,part,,8,3,1,2
LRU_2_2,sru,74,PART_1,part,,8,3,0,1
LRU_2_2,sru,74,PART_6,part,,8,1,0,1
LRU_3,lru,42,LRU_3_1,sru,130,14,7,0,1
LRU_3_1,sru,130,PART_5,part,,7,1,1,2
LRU_3_1,sru,130,PART_2,part,,7,3,1,3
LRU_3_1,sru,130,PART_1,part,,7,3,0,3
LRU_3,lru,42,LRU_3_2,sru,144,14,8,0,2
LRU_3_2,sru,144,PART_1,part,,8,3,0,3
LRU_3_2,sru,144,PART_10,part,,8,1,0,3
LRU_3_2,sru,144,PART_8,part,,8,3,0,3
LRU_4,lru,48,LRU_4_1,sru,102,9,5,0,2
LRU_4_1,sru,102,PART_8,part,,5,3,0,3
LRU_4_1,sru,102,PART_3,part,,5,2,0,2
LRU_4_1,sru,102,PART_11,part,,5,1,0,1
LRU_4,lru,48,LRU_4_2,sru,102,9,3,0,2
LRU_4_2,sru,102,PART_16,part,,3,1,0,2
LRU_4_2,sru,102,PART_11,part,,3,1,0,2
LRU_4_2,sru,102,PART_3,part,,3,2,0,2
LRU_5,lru,36,LRU_5_1,sru,60,9,6,0,1
LRU_5_1,sru,60,PART_9,part,,6,3,0,1
LRU_5_1,sru,60,PART_2,part,,6,3,1,1
LRU_5_1,sru,60,PART_3,part,,6,2,0,1
LRU_5,lru,36,LRU_5_2,sru,88,9,4,0,1
LRU_5_2,sru,88,PART_8,part,,4,3,0,2
LRU_5_2,sru,88,PART_17,part,,4,3,0,1
LRU_5_2,sru,88,PART_12,part,,4,3,1,2
