timestep,comp_id,node_from,node_to,qty
1,LRU_2,CUST_3,LOCAL_3,1
1,LRU_2,DEPOT_1,SPEC_1,1
1,LRU_2,LOCAL_2,CUST_2,2
1,LRU_2,LOCAL_2,CUST_3,4
1,LRU_2,LOCAL_3,CUST_4,1
1,LRU_2,REGWH_1,LOCAL_2,6
1,LRU_2,SPEC_1,REGWH_1,6
1,LRU_2_1,DEPOT_1,SPEC_1,4
1,LRU_2_2,DEPOT_1,SPEC_1,5
1,LRU_3,DEPOT_1,SPEC_1,2
1,LRU_3,LOCAL_2,CUST_3,2
1,LRU_3,REGWH_1,LOCAL_2,2
1,LRU_3,SPEC_1,REGWH_1,2
1,LRU_5,DEPOT_1,SPEC_1,3
1,LRU_5,LOCAL_2,CUST_1,3
1,LRU_5,REGWH_1,LOCAL_2,3
1,LRU_5,SPEC_1,REGWH_1,3
1,LRU_5,SPEC_3,DEPOT_1,3
1,LRU_5_1,DEPOT_1,SPEC_3,6
1,LRU_5_2,DEPOT_1,SPEC_3,2
