timestep,comp_id,node_from,node_to,qty
1,LRU_2,DEPOT_1,REGWH_1,5
1,LRU_2,LOCAL_2,CUST_2,2
1,LRU_2,LOCAL_2,CUST_3,4
1,LRU_2,LOCAL_4,CUST_4,2
1,LRU_2,REGWH_1,LOCAL_2,6
1,LRU_2,REGWH_2,LOCAL_4,2
1,LRU_2,SPEC_1,REGWH_1,1
1,LRU_2,SPEC_2,DEPOT_1,1
1,LRU_2,SPEC_4,REGWH_2,2
1,LRU_2_1,REGWH_2,SPEC_4,1
1,LRU_2_2,DEPOT_1,SPEC_2,1
1,LRU_2_2,REGWH_1,SPEC_1,1
1,LRU_2_2,REGWH_2,SPEC_4,2
1,LRU_2_2,SPEC_3,DEPOT_1,1
1,LRU_3,DEPOT_1,REGWH_1,1
1,LRU_3,REGWH_1,LOCAL_2,1
1,LRU_5,DEPOT_1,REGWH_1,1
1,LRU_5,LOCAL_1,CUST_1,2
1,LRU_5,REGWH_1,LOCAL_1,2
1,LRU_5,SPEC_1,REGWH_1,1
2,LRU_2,DEPOT_1,REGWH_1,2
2,LRU_2,LOCAL_2,CUST_2,2
2,LRU_2,REGWH_1,LOCAL_2,2
2,LRU_2_1,SPEC_2,DEPOT_1,1
2,LRU_2_2,REGWH_1,SPEC_1,2
2,LRU_3,DEPOT_1,REGWH_1,1
2,LRU_5,DEPOT_1,REGWH_1,2
2,LRU_5,LOCAL_1,CUST_1,2
2,LRU_5,REGWH_1,LOCAL_1,2
3,LRU_2,LOCAL_2,CUST_3,2
3,LRU_2,REGWH_1,LOCAL_2,2
3,LRU_2,SPEC_1,REGWH_1,2
3,LRU_3,LOCAL_2,CUST_3,2
3,LRU_3,REGWH_1,LOCAL_2,1
3,LRU_5,DEPOT_1,REGWH_1,2
3,LRU_5,LOCAL_1,CUST_1,2
3,LRU_5,REGWH_1,LOCAL_1,2
4,LRU_3,DEPOT_1,REGWH_1,2
4,LRU_3,LOCAL_2,CUST_3,2
4,LRU_3,REGWH_1,LOCAL_2,2
