node_id,component_id,quantity
LOCAL_1,PART_1,10
LOCAL_1,PART_4,5
LOCAL_1,PART_5,3
LOCAL_1,PART_6,6
LOCAL_1,PART_8,6
LOCAL_1,PART_10,6
LOCAL_1,PART_11,6
LOCAL_1,PART_12,5
LOCAL_1,PART_13,9
LOCAL_1,PART_14,5
LOCAL_1,PART_15,6
LOCAL_1,PART_17,8
LOCAL_2,LRU_3_2,1
LOCAL_2,PART_4,5
LOCAL_2,PART_5,10
LOCAL_2,PART_6,10
LOCAL_2,PART_8,7
LOCAL_2,PART_9,3
LOCAL_2,PART_10,9
LOCAL_2,PART_11,6
LOCAL_2,PART_13,5
LOCAL_2,PART_14,7
LOCAL_2,PART_15,8
LOCAL_2,PART_17,7
LOCAL_3,PART_4,8
LOCAL_3,PART_5,8
LOCAL_3,PART_6,10
LOCAL_3,PART_8,7
LOCAL_3,PART_9,5
LOCAL_3,PART_11,6
LOCAL_3,PART_13,4
LOCAL_3,PART_15,8
LOCAL_3,PART_17,5
LOCAL_4,PART_1,7
LOCAL_4,PART_4,7
LOCAL_4,PART_5,5
LOCAL_4,PART_6,8
LOCAL_4,PART_8,5
LOCAL_4,PART_9,9
LOCAL_4,PART_10,3
LOCAL_4,PART_11,5
LOCAL_4,PART_12,9
LOCAL_4,PART_13,8
LOCAL_4,PART_14,9
LOCAL_4,PART_15,10
LOCAL_4,PART_17,8
REGWH_1,LRU_1_1,4
REGWH_1,LRU_1_2,4
REGWH_1,LRU_2_1,3
REGWH_1,LRU_3_1,4
REGWH_1,LRU_5_1,2
REGWH_1,LRU_5_2,4
REGWH_1,PART_1,24
REGWH_1,PART_4,27
REGWH_1,PART_6,9
REGWH_1,PART_8,27
REGWH_1,PART_9,25
REGWH_1,PART_10,27
REGWH_1,PART_11,24
REGWH_1,PART_12,23
REGWH_1,PART_14,22
REGWH_1,PART_15,20
REGWH_1,PART_17,11
REGWH_2,LRU_1_1,5
REGWH_2,LRU_1_2,2
REGWH_2,LRU_2_1,4
REGWH_2,LRU_2_2,2
REGWH_2,LRU_3_1,2
REGWH_2,LRU_3_2,5
REGWH_2,LRU_4_1,5
REGWH_2,LRU_4_2,5
REGWH_2,LRU_5_1,2
REGWH_2,LRU_5_2,6
REGWH_2,PART_1,9
REGWH_2,PART_4,24
REGWH_2,PART_5,24
REGWH_2,PART_6,12
REGWH_2,PART_8,25
REGWH_2,PART_9,11
REGWH_2,PART_10,9
REGWH_2,PART_11,28
REGWH_2,PART_12,27
REGWH_2,PART_13,20
REGWH_2,PART_15,24
REGWH_2,PART_17,24
DEPOT_1,LRU_1,1
DEPOT_1,LRU_1_1,10
DEPOT_1,LRU_1_2,9
DEPOT_1,LRU_2_1,5
